county,Hazard,fiscalYear,totalSubapplicationAmount,COUNTYNAME
05105,none,2023,0.0,Perry County
05107,none,2020,0.0,Phillips County
05107,none,2021,0.0,Phillips County
05107,none,2022,0.0,Phillips County
05107,none,2023,0.0,Phillips County
05109,Unidentified disaster,2020,1797414.08,Pike County
05109,Unidentified disaster,2021,35000.0,Pike County
05109,none,2022,0.0,Pike County
05109,none,2023,0.0,Pike County
05111,none,2020,0.0,Poinsett County
05111,none,2021,0.0,Poinsett County
05111,none,2022,0.0,Poinsett County
05111,none,2023,0.0,Poinsett County
05113,none,2020,0.0,Polk County
05113,none,2021,0.0,Polk County
05113,none,2022,0.0,Polk County
05113,none,2023,0.0,Polk County
05115,none,2020,0.0,Pope County
