county,Hazard,totalSubapplicationAmount,Hazard_color
29113,Infrastructure failure,40477.06,884DFF
29123,Earthquake,638250.0,FFFFFF
29125,Infrastructure failure,117481.32,884DFF
29127,Flooding,10500000.0,00AAFF
29127,Severe storm,58341731.0,FFFF00
29135,Tornado,1497300.0,4F666A
29139,Infrastructure failure,40477.06,884DFF
29145,Flooding,1500000.0,00AAFF
29151,Flooding,1114647.1600000001,00AAFF
29157,Earthquake,638250.0,FFFFFF
29159,Tornado,2308635.0,4F666A
29161,Infrastructure failure,117481.32,884DFF
29163,Flooding,12779152.52,00AAFF
29163,Infrastructure failure,40477.06,884DFF
29173,Flooding,10500000.0,00AAFF
29173,Severe storm,58341731.0,FFFF00
29177,Severe storm,6224400.0,FFFF00
29179,Tornado,1283870.0,4F666A
29185,Tornado,1627762.0,4F666A
29186,Earthquake,638250.0,FFFFFF
29187,Earthquake,638250.0,FFFFFF
29187,Flooding,823914.0,00AAFF
29189,Flooding,8549907.8,00AAFF
29203,Tornado,1283870.0,4F666A
29209,Flooding,551870.0,00AAFF
29215,Tornado,4268870.0,4F666A
29221,Flooding,823914.0,00AAFF
29225,Flooding,100000.0,00AAFF
29229,Flooding,100000.0,00AAFF
29229,Tornado,0.0,4F666A
29510,Earthquake,30214033.85,FFFFFF
29510,Flooding,3922504.5,00AAFF
30003,Flooding,287026857.0,00AAFF
30003,Infrastructure failure,308886.0,884DFF
30007,Flooding,16119050.0,00AAFF
30009,Flooding,299332.25,00AAFF
30009,Infrastructure failure,104330.0,884DFF
30009,Landslide/Debris flow,100070.2,644117
30017,Flooding,486000.0,00AAFF
30023,Flooding,636550.0,00AAFF
30029,Fire,40000.0,FF1919
30031,Flooding,16119050.0,00AAFF
30043,Dam/Levee break,2200052.0,00AAFF
30043,Flooding,17126126.0,00AAFF
30049,Flooding,1007076.0,00AAFF
30053,Fire,5695400.0,FF1919
30061,Flooding,95579.4,00AAFF
30061,Infrastructure failure,899921.9,884DFF
30063,Fire,2452244.6,FF1919
30063,Flooding,644010.0,00AAFF
30063,Infrastructure failure,2631002.0,884DFF
30067,Flooding,2116303.0,00AAFF
30077,Flooding,636550.0,00AAFF
30081,Dam/Levee break,1807805.0,00AAFF
30083,Flooding,1788759.0,00AAFF
30087,Flooding,18758000.0,00AAFF
30087,Infrastructure failure,1535781.0,884DFF
30093,Dam/Levee break,2200052.0,00AAFF
30095,Flooding,240496.25,00AAFF
30103,Flooding,18758000.0,00AAFF
30111,Flooding,287026857.0,00AAFF
31001,Flooding,4280831.0,00AAFF
31001,Infrastructure failure,1485252.0,884DFF
31003,Winter storm,860840.0,A0E6FF
31011,Severe storm,1770406.0,FFFF00
31023,Extreme temperature,27587900.0,CC5500
