county,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
01053,36562,0.004920860,0.000540249,0.011961722,0.004685865
01053,36432,0.014103084,0.006482982,0.000000000,0.013193212
01053,36441,0.099330357,0.054565100,0.081339713,0.095218598
01053,36426,0.441761364,0.461372231,0.447368421,0.443519403
01053,36420,0.003348214,0.002160994,0.000000000,0.003184568
01053,36475,0.000202922,0.000000000,0.000000000,0.000181975
01053,36483,0.007660308,0.005942734,0.002392344,0.007415495
01053,36503,0.000000000,0.002701243,0.000000000,0.000227469
01053,36543,0.000000000,0.000540249,0.000000000,0.000045494
01053,36502,0.428672890,0.465694219,0.456937799,0.432327920
01055,36271,0.000072607,0.000000000,0.000000000,0.000065184
01055,35904,0.133433773,0.106524634,0.117010816,0.130856351
01055,35961,0.004592402,0.000760890,0.000000000,0.004188055
01055,35972,0.008495035,0.002282671,0.000000000,0.007822048
01055,35905,0.052985061,0.030055165,0.044247788,0.050875906
01055,35957,0.000617161,0.000000000,0.000000000,0.000554062
01055,35121,0.000254125,0.000000000,0.000000000,0.000228143
01055,35990,0.000018152,0.000190223,0.000000000,0.000032592
01055,35952,0.041004883,0.007799125,0.004916421,0.037562128
01055,35901,0.189668004,0.307589880,0.408062930,0.203389554
01055,35954,0.120037756,0.110709530,0.095378564,0.118829952
01055,35907,0.070900873,0.023777820,0.046214356,0.066454820
01055,35902,0.023488410,0.095491725,0.001966568,0.029300090
01055,35906,0.094897533,0.130492676,0.155358899,0.098948912
01055,35956,0.078615382,0.033288948,0.015732547,0.073690214
01055,36272,0.010618794,0.003614229,0.000000000,0.009842744
01055,35903,0.170300049,0.147422484,0.111111111,0.167359244
01057,35555,0.562276080,0.829903978,0.933333333,0.587460333
01057,35574,0.014120126,0.002743484,0.000000000,0.013078181
01057,35549,0.018967334,0.001371742,0.000000000,0.017405520
01057,35579,0.000105374,0.000000000,0.000000000,0.000096163
01057,35546,0.160379347,0.101508916,0.044444444,0.154245601
01057,35594,0.124341412,0.032921811,0.011111111,0.115972690
01057,35563,0.006533193,0.000000000,0.000000000,0.005962112
01057,35554,0.036248683,0.010973937,0.011111111,0.034041735
01057,35545,0.000000000,0.001371742,0.000000000,0.000096163
01057,35542,0.077028451,0.017832647,0.000000000,0.071545341
01057,35559,0.000000000,0.001371742,0.000000000,0.000096163
01059,35582,0.131990476,0.116835327,0.088524590,0.130234481
01059,35653,0.315786087,0.590616375,0.377049180,0.334534286
01059,35674,0.007272025,0.000000000,0.062295082,0.007796350
01059,35616,0.000128708,0.000000000,0.000000000,0.000118127
01059,35654,0.228972263,0.128794848,0.196721311,0.221959719
01059,35565,0.012227299,0.004599816,0.019672131,0.011871715
01059,35581,0.167127872,0.088316467,0.232786885,0.163250842
01059,35585,0.049810155,0.032198712,0.000000000,0.047782175
01059,35571,0.027672308,0.017479301,0.006557377,0.026637529
01059,35564,0.005148336,0.000919963,0.000000000,0.004784124
01059,35593,0.053864470,0.020239190,0.016393443,0.051030654
01061,36322,0.003760941,0.000949668,0.000000000,0.003549246
01061,36313,0.000000000,0.000949668,0.000000000,0.000063379
01061,36477,0.191466083,0.293447293,0.099009901,0.197680314
01061,36340,0.204595186,0.329534663,0.435643564,0.214412473
01061,36442,0.000478665,0.000000000,0.000000000,0.000443656
01061,36453,0.033780088,0.012345679,0.000000000,0.032133350
01061,36352,0.003145514,0.000000000,0.000000000,0.002915452
01061,36301,0.006769694,0.000949668,0.000000000,0.006337939
01061,36305,0.026394967,0.007597341,0.000000000,0.024971479
01061,36316,0.037541028,0.018043685,0.000000000,0.035999493
01061,36318,0.029130197,0.003798670,0.000000000,0.027253137
01061,36375,0.220391138,0.104463438,0.168316832,0.212320953
01061,36344,0.216766958,0.213675214,0.237623762,0.216694131
01061,36349,0.000000000,0.000949668,0.000000000,0.000063379
01061,36314,0.025779540,0.013295347,0.059405941,0.025161617
01063,35464,0.005614823,0.003436426,0.000000000,0.005473164
01063,35491,0.000000000,0.003436426,0.000000000,0.000176554
