,name,iso3,year,pop_t,pop_u,pop_r,wat_pop_sm_t,wat_pop_sm_r,wat_pop_sm_u,wat_pop_basal_sub_t,wat_pop_basal_sub_r,wat_pop_basal_sub_u,wat_pop_unimp_t,wat_pop_unimp_r,wat_pop_unimp_u,wat_pop_ns_t,wat_pop_ns_r,wat_pop_ns_u
252,Aruba,ABW,2022,106.445,4689.1149418449395,-4582.66994184494,,,,,,,,,,,,
275,Australia,AUS,2022,26177.413,2264032.268100189,-2237854.855100189,,,225334790.39151353,,,989195.2891218117,792.3538574224903,-0.0,79241.12938356321,0.0,-0.0,0.0
298,Austria,AUT,2022,8939.617,529725.9154879303,-520786.29848793027,884095.2537841797,,,9866.44055175783,,,0.005664062527144142,-0.0,0.0,0.0,-0.0,0.0
321,Azerbaijan,AZE,2022,10358.074,592171.0321008835,-581812.9581008835,741759.3159897825,-47204823.2296424,54642581.987109035,269625.68081304914,-7773566.4914756995,4574521.222979322,13396.213246337275,-1756861.2578382636,0.0,0.0,-0.0,0.0
344,Bahamas,BHS,2022,409.984,34230.38280175781,-33820.398801757816,,,,,,,,,,,,
367,Bahrain,BHR,2022,1472.233,132122.6117800522,-130650.3787800522,145609.69665530778,,,1495.6760400509072,,,117.92730464130852,,,0.0,,
390,Bangladesh,BGD,2022,171186.372,6797981.767730713,-6626795.395730712,10118705.817030178,-413183803.4636833,368372854.5523466,6674174.499211682,-238331885.52002433,296236327.39057094,17209.28459699291,-1.1771553324510681e-08,1720958.3929875721,105334.49376962964,-5717795.955472005,1628481.139466699
413,Barbados,BRB,2022,281.635,8821.934572401047,-8540.299572401047,,,,,,,343.017068089535,,,0.0,,
436,Belarus,BLR,2022,9534.954,765904.7534138488,-756369.7994138488,887701.8900677342,,,57964.05515883042,,,5045.428484997621,-1460011.1271570888,142438.74777902837,0.0,-0.0,0.0
459,Belgium,BEL,2022,11655.93,1144064.5847948457,-1132408.6547948457,1162556.0401862038,,,3036.9598137962935,,,0.0,-0.0,0.0,0.0,-0.0,0.0
482,Belize,BLZ,2022,405.272,18802.999674896244,-18397.727674896243,,,,,,,140.44115077086752,-11893.666202147544,0.0,0.0,-0.0,0.0
505,Benin,BEN,2022,13352.864,661420.770673462,-648067.906673462,,,,,,,292274.16793267016,-15469356.056944363,13142268.257365331,36566.29900009379,-2982219.507371886,555696.8321386023
528,Bermuda,BMU,2022,64.184,6418.4,-6354.215999999999,,,,,,,6.216861144791329,,621.6861144791328,0.0,,0.0
551,Bhutan,BTN,2022,782.455,34182.3267898941,-33399.871789894096,57386.80830651597,-2824857.496259424,2011954.5207848484,20179.087511640617,-476538.2305725487,1389230.099026402,145.10351789434222,-0.0,14510.217308071535,25.378419057705173,-0.0,2537.8418700877064
574,Bolivia (Plurinational State of),BOL,2022,12224.11,865833.7336830139,-853609.623683014,,,,,,,16458.83695853004,-3612260.8161505614,136937.08141037213,53829.15982926084,-12424127.977384912,193000.34118304274
597,"Bonaire, Sint Eustatius and Saba",BES,2022,27.026,2033.6794888458253,-2006.6534888458252,2702.6,,,0.0,,,0.0,,,0.0,,
620,Bosnia and Herzegovina,BIH,2022,3233.526,161162.168083168,-157928.642083168,281221.95327572385,,,29498.79404065571,,,205.27762677184046,-0.0,20527.77214641633,0.0,-0.0,0.0
643,Botswana,BWA,2022,2630.296,189970.49573535155,-187340.19973535155,,,13856839.776564043,,,4674280.3543483745,5679.360358206949,-531517.4579273454,360654.56539661443,1888.719201025837,-426882.44973891496,22395.902801971246
666,Brazil,BRA,2022,215313.498,18851773.383098464,-18636459.885098465,18787979.25924046,-1416716773.2944143,1675100335.0178218,2655904.01988655,-409415739.5156527,206724014.3968979,87466.52087298871,-37513475.69977953,0.0,,,3352988.8951269626
